ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
1,rbf,[ 0.93661972  0.74031008],[ 0.665  0.955],[ 0.77777778  0.83406114],0.01,100
1,rbf,[ 0.60526316  0.83333333],[ 0.92  0.4 ],[ 0.73015873  0.54054054],0.01,1000
1,rbf,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.1,0.001
1,rbf,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.1,0.01
1,rbf,[ 0.92215569  0.80257511],[ 0.77   0.935],[ 0.83923706  0.86374134],0.1,0.1
1,rbf,[ 0.92485549  0.82378855],[ 0.8    0.935],[ 0.85790885  0.87587822],0.1,1
1,rbf,[ 0.91803279  0.85253456],[ 0.84   0.925],[ 0.8772846   0.88729017],0.1,10
1,rbf,[ 0.92528736  0.82743363],[ 0.805  0.935],[ 0.86096257  0.87793427],0.1,100
1,rbf,[ 0.94630872  0.76494024],[ 0.705  0.96 ],[ 0.80802292  0.85144124],0.1,1000
1,rbf,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],1,0.001
1,rbf,[ 0.92215569  0.80257511],[ 0.77   0.935],[ 0.83923706  0.86374134],1,0.01
1,rbf,[ 0.92485549  0.82378855],[ 0.8    0.935],[ 0.85790885  0.87587822],1,0.1
1,rbf,[ 0.92655367  0.83856502],[ 0.82   0.935],[ 0.87002653  0.88416076],1,1
1,rbf,[ 0.91351351  0.85581395],[ 0.845  0.92 ],[ 0.87792208  0.88674699],1,10
1,rbf,[ 0.92265193  0.84931507],[ 0.835  0.93 ],[ 0.87664042  0.88782816],1,100
1,rbf,[ 0.94   0.764],[ 0.705  0.955],[ 0.80571429  0.84888889],1,1000
1,rbf,[ 0.92215569  0.80257511],[ 0.77   0.935],[ 0.83923706  0.86374134],10,0.001
1,rbf,[ 0.92485549  0.82378855],[ 0.8    0.935],[ 0.85790885  0.87587822],10,0.01
1,rbf,[ 0.92613636  0.83482143],[ 0.815  0.935],[ 0.86702128  0.88207547],10,0.1
1,rbf,[ 0.92222222  0.84545455],[ 0.83  0.93],[ 0.87368421  0.88571429],10,1
1,rbf,[ 0.91351351  0.85581395],[ 0.845  0.92 ],[ 0.87792208  0.88674699],10,10
1,rbf,[ 0.91620112  0.83710407],[ 0.82   0.925],[ 0.86543536  0.87885986],10,100
1,rbf,[ 0.92   0.752],[ 0.69  0.94],[ 0.78857143  0.83555556],10,1000
1,rbf,[ 0.92485549  0.82378855],[ 0.8    0.935],[ 0.85790885  0.87587822],100,0.001
1,rbf,[ 0.92696629  0.84234234],[ 0.825  0.935],[ 0.87301587  0.88625592],100,0.01
1,rbf,[ 0.91620112  0.83710407],[ 0.82   0.925],[ 0.86543536  0.87885986],100,0.1
